city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,3899,FORD Scorpio,2.9,http://rst.ua/oldcars/ford/scorpio/ford_scorpio_4710009.html,,181000,4WD,,1995,,90800,,Automatic,Petrol,
,6700,MITSUBISHI Colt,1.3,http://rst.ua/oldcars/mitsubishi/colt/mitsubishi_colt_5102798.html,,69000,4WD,,2006,,155900,,Automatic,Petrol,
,6800,SKODA Fabia,1.4,http://rst.ua/oldcars/skoda/fabia/skoda_fabia_5102777.html,,170000,4WD,,2003,,158300,,Automatic,Petrol,
,1500,OPEL Ascona,1.6,http://rst.ua/oldcars/opel/ascona/opel_ascona_4835850.html,,85754,4WD,,1985,,35000,,Manual,LPG/Petrol,
,12500,AUDI TT,1.8,http://rst.ua/oldcars/audi/tt/audi_tt_5111919.html,,170000,4WD,,2004,,290900,,Automatic,Petrol,
,1550,ВАЗ 2106,1.3,http://rst.ua/oldcars/vaz/2106/vaz_2106_4999519.html,,67000,4WD,,1989,,36100,,Manual,Petrol,
,20000,ACURA MDX,3.7,http://rst.ua/oldcars/acura/mdx/acura_mdx_5111828.html,,138000,4WD,,2008,,465400,,Automatic,Petrol,
,13500,MAZDA 6,2.0,http://rst.ua/oldcars/mazda/6/mazda_6_5111861.html,,109000,4WD,,2008,,314200,,Automatic,Petrol,
,10500,VOLKSWAGEN Caddy,1.6,http://rst.ua/oldcars/volkswagen/caddy/volkswagen_caddy_4646464.html,,205000,4WD,,2012,,244400,,Manual,Diesel,
,6000,CHEVROLET Niva,1.7,http://rst.ua/oldcars/chevrolet/niva/chevrolet_niva_4786667.html,,12000,4WD,,2007,,139700,,Manual,Petrol,
,8500,FIAT Doblo,1.9,http://rst.ua/oldcars/fiat/doblo/fiat_doblo_4812183.html,,180000,4WD,,2008,,197800,,Manual,Diesel,
,11200,RENAULT Trafic,2.0,http://rst.ua/oldcars/renault/trafic/renault_trafic_4930263.html,,180000,4WD,,2011,,260600,,Manual,Diesel,
,14500,NISSAN X-Trail,2.0,http://rst.ua/oldcars/nissan/x-trail/nissan_x-trail_4982904.html,,102000,4WD,,2007,,337400,,Automatic,Petrol,
,290,МОСКВИЧ 412,1.5,http://rst.ua/oldcars/moscvich/412/moscvich_412_5113440.html,,60000,4WD,,1972,,6800,,Manual,Petrol,
,2750,ГАЗ Соболь,2.3,http://rst.ua/oldcars/gaz/sobol/gaz_sobol_4785969.html,,100000,4WD,,1999,,64000,,Manual,LPG/Petrol,
,6900,PEUGEOT 407,2.0,http://rst.ua/oldcars/peugeot/407/peugeot_407_5113174.html,,158000,4WD,,2005,,160600,,Manual,Petrol,
,2800,DADI Shuttle,2.2,http://rst.ua/oldcars/dadi/shuttle/dadi_shuttle_4879849.html,,156000,4WD,,2007,,65200,,Manual,LPG/Petrol,
,10800,SSANGYONG Actyon,2.0,http://rst.ua/oldcars/ssangyong/actyon/ssangyong_actyon_4620327.html,,124500,4WD,,2008,,251300,,Automatic,Diesel,
,1500,ЗАЗ Славута,1.2,http://rst.ua/oldcars/zaz/slavuta/zaz_slavuta_5092420.html,,150000,4WD,,2003,,35000,,Manual,Petrol,
,6900,AUDI A8,3.7,http://rst.ua/oldcars/audi/a8/audi_a8_5104399.html,,250000,4WD,,1997,,160600,,Automatic,LPG/Petrol,
,2300,ВАЗ 2109,1.5,http://rst.ua/oldcars/vaz/2109/vaz_2109_5031640.html,,100000,4WD,,1992,,53600,,Manual,LPG/Petrol,
,3650,DAEWOO Lanos,1.4,http://rst.ua/oldcars/daewoo/lanos/daewoo_lanos_5086122.html,,71500,4WD,,2007,,85000,,Manual,LPG/Petrol,
,1800,ВАЗ 2107,1.5,http://rst.ua/oldcars/vaz/2107/vaz_2107_5114035.html,,115000,4WD,,1997,,41900,,Manual,LPG/Petrol,
,2950,ВАЗ 21099,1.5,http://rst.ua/oldcars/vaz/21099/vaz_21099_5116104.html,,1000,4WD,,2005,,68700,,Manual,Petrol,
,9199,OPEL Vivaro,1.9,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_4902861.html,,250000,4WD,,2006,,214100,,Manual,Diesel,
,13500,IVECO Daily,2.3,http://rst.ua/oldcars/iveco/daily/iveco_daily_5076353.html,,104000,4WD,,2007,,314200,,Manual,Diesel,
,8000,HYUNDAI Accent,1.6,http://rst.ua/oldcars/hyundai/accent/hyundai_accent_5037675.html,,89000,4WD,,2008,,186200,,Automatic,LPG/Petrol,
,4500,ВАЗ Приора,1.6,http://rst.ua/oldcars/vaz/priora/vaz_priora_5010280.html,,114000,4WD,,2007,,104800,,Manual,Petrol,
,8150,PEUGEOT Partner,1.6,http://rst.ua/oldcars/peugeot/partner/peugeot_partner_5115222.html,,140000,4WD,,2010,,189700,,Manual,Diesel,
,8000,SKODA Octavia,1.8,http://rst.ua/oldcars/skoda/octavia/skoda_octavia_5101016.html,,207000,4WD,,2006,,186200,,Manual,Petrol,
,4550,CHERY Karry,1.6,http://rst.ua/oldcars/chery/karry/chery_karry_5062398.html,,44000,4WD,,2008,,105900,,Manual,Petrol,
,12700,VOLKSWAGEN Transporter,1.9,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_4891065.html,,167000,4WD,,2007,,295500,,Manual,Diesel,
,2200,ВАЗ 2109,1.3,http://rst.ua/oldcars/vaz/2109/vaz_2109_5089188.html,,50000,4WD,,1995,,51200,,Manual,Petrol,
,5800,OPEL Astra,1.6,http://rst.ua/oldcars/opel/astra/opel_astra_5052696.html,,128000,4WD,,2003,,135000,,Automatic,Petrol,
,10950,FORD Focus,1.6,http://rst.ua/oldcars/ford/focus/ford_focus_4961774.html,,86000,4WD,,2012,,254800,,Manual,Petrol,
,500,ВАЗ 2101,1.3,http://rst.ua/oldcars/vaz/2101/vaz_2101_5103551.html,,68000,4WD,,1983,,11700,,Manual,Petrol,
